f,T,b,mu_real,mu_imag,h_offset
50000,25.0,0.0149325697746609,6371.788215627965,213.63487748906704,0.0
50000,25.0,0.0187616434112453,6502.770423866257,249.0941117905987,0.0
50000,25.0,0.0237734245847465,6476.00121063166,339.2935438981968,0.0
50000,25.0,0.0309836358060101,6631.498845909496,386.9485698551469,0.0
50000,25.0,0.0389674078514343,6807.75106452823,471.29319594742617,0.0
50000,25.0,0.0489452378082178,6896.22621868876,557.7089367723714,0.0
50000,25.0,0.0620127029570363,7063.658680572783,663.0879097317586,0.0
50000,25.0,0.0786538393323202,7221.602359039106,813.8721994848096,0.0
50000,25.0,0.0980492019734289,7314.258972857828,1013.029775155312,0.0
50000,25.0,0.1244176076379753,7549.387041955455,1303.5274075985494,0.0
50000,25.0,0.1558619690438996,7622.428444327506,1602.2972817163975,0.0
50000,25.0,0.1946489857590758,7587.5221024280445,1860.4066398159769,0.0
50000,25.0,0.2436136726369354,7262.516305372215,1942.5718760044256,0.0
63000,25.0,0.0116601495191134,6743.464924670164,356.8739373777075,0.0
63000,25.0,0.0152000023796507,6812.692145715879,395.7992796661789,0.0
63000,25.0,0.0186778293790396,6727.926983998692,452.9546604186414,0.0
63000,25.0,0.0246756371817172,6852.813733073194,480.5842736562812,0.0
63000,25.0,0.0303949360708539,6920.137044405595,549.5250373996706,0.0
63000,25.0,0.0389104997034581,6963.420867236307,636.4131549478665,0.0
63000,25.0,0.0490828350421902,7102.994893383546,722.5640144811997,0.0
63000,25.0,0.0612256608497595,7199.899788395104,829.2185097143815,0.0
63000,25.0,0.0782026380377282,7244.914552049573,991.3019021076744,0.0
63000,25.0,0.0973530586833349,7352.621915344782,1191.5751223014984,0.0
63000,25.0,0.1240244646547125,7522.755342624338,1498.9153585369538,0.0
63000,25.0,0.1551942572031845,7529.072679091223,1792.5497738754418,0.0
63000,25.0,0.1961091050221633,7467.492788416967,2076.6362585701604,0.0
63000,25.0,0.2442120137218308,7167.584332145565,2152.083999000497,0.0
79000,25.0,0.0094563067621391,6767.100311862326,439.6550630371957,0.0
79000,25.0,0.0121369540995453,6823.694338807777,481.2010141897647,0.0
79000,25.0,0.0149997850443017,6714.130481146805,507.71145652075,0.0
79000,25.0,0.0190969042258347,6807.97761112797,559.3219829379605,0.0
79000,25.0,0.0243560832280337,6875.979005747702,615.0525094008048,0.0
79000,25.0,0.030929779463527,6898.268924319166,685.0541651351774,0.0
79000,25.0,0.0389603984885119,6993.754442240508,767.8536370664539,0.0
79000,25.0,0.0489969019522063,7085.512624482964,868.8112743158096,0.0
79000,25.0,0.0622399281787011,7151.517079929076,992.5770563126088,0.0
79000,25.0,0.0773597557964005,7236.184782701411,1161.22735717536,0.0
79000,25.0,0.0981218616457541,7300.744494090009,1386.569460039278,0.0
79000,25.0,0.1233974068678585,7409.513457507096,1696.723902614788,0.0
79000,25.0,0.1559413633830277,7391.193307689025,2016.956642108482,0.0
79000,25.0,0.1941270295623401,7338.197621524466,2298.11392327044,0.0
79000,25.0,0.2439715173305287,7009.466262239052,2371.0983553281244,0.0
99000,25.0,0.0096138298975515,6833.724396867152,635.2759500073613,0.0
99000,25.0,0.0118544738468189,6724.176648669737,640.4138601689937,0.0
99000,25.0,0.0154327733009881,6779.575229052653,689.4073004115728,0.0
99000,25.0,0.0192994403000406,6833.49902817495,746.3367221836405,0.0
